left,right,centroid_l2,centroid_cosine,std_profile_l2,std_profile_cosine,covariance_frobenius
cbam_cnn_cnn_residual,swin_hybrid,364.7799072265625,-0.068730928003788,5.302868843078613,0.9391887187957764,16.42959213256836
cbam_cnn_cnn_residual,swin_transnet,363.9052429199219,0.06473439931869507,6.444181442260742,0.9431368112564087,15.655184745788574
cbam_cnn_cnn_residual,transnet_cnn_residual,467.1498718261719,-0.030404377728700638,7.931562423706055,0.8692584037780762,25.322154998779297
cbam_cnn_cnn_residual,transnet_hybrid,364.6808166503906,-0.0004311874508857727,5.696671485900879,0.9415572881698608,26.634929656982422
cbam_cnn_cnn_residual,transnet_transnet,364.1311340332031,-0.011056509800255299,6.458189487457275,0.9382348656654358,38.74258041381836
cbam_cnn_hybrid,cbam_cnn_transnet,32.46709442138672,-0.00510404072701931,4.1188201904296875,0.9908682107925415,114.588623046875
cbam_cnn_hybrid,clnet_cnn_residual,223.77517700195312,0.053752221167087555,17.186609268188477,0.9793622493743896,77.98648834228516
cbam_cnn_hybrid,clnet_hybrid,37.48952865600586,-0.0015086971689015627,9.711519241333008,0.9930021166801453,78.32540130615234
cbam_cnn_hybrid,clnet_transnet,31.84649658203125,0.033269308507442474,13.04017448425293,0.9946392774581909,77.60728454589844
cbam_cnn_hybrid,cnn_cnn_residual,346.5606689453125,-0.03515854850411415,14.177750587463379,0.9544453620910645,77.85062408447266
cbam_cnn_hybrid,cnn_hybrid,47.032283782958984,-0.04319756478071213,3.7016191482543945,0.9915205240249634,106.27725982666016
cbam_cnn_hybrid,cnn_transnet,31.937219619750977,0.05045745149254799,3.4350759983062744,0.9935454726219177,96.643798828125
cbam_cnn_hybrid,convnext_cnn_residual,682.2039184570312,-0.020997975021600723,36.74419403076172,0.7122305631637573,1633.6383056640625
cbam_cnn_hybrid,convnext_hybrid,47.20838928222656,-0.016035808250308037,20.635364532470703,0.9874778985977173,213.37353515625
cbam_cnn_hybrid,convnext_transnet,35.0595588684082,-0.0006038867868483067,3.6924309730529785,0.9935601353645325,102.25796508789062
cbam_cnn_hybrid,crnet_cnn_residual,235.3636016845703,-0.0033343182876706123,15.727829933166504,0.9828891754150391,77.45490264892578
cbam_cnn_hybrid,crnet_hybrid,34.191162109375,0.005553979892283678,11.104326248168945,0.993181049823761,78.61459350585938
cbam_cnn_hybrid,crnet_transnet,32.115509033203125,-0.03969835117459297,13.4116849899292,0.9943232536315918,77.48087310791016
cbam_cnn_hybrid,csinet_cnn_residual,215.63592529296875,0.05818532407283783,16.633567810058594,0.9782307744026184,78.8228988647461
