model,metric,K,relative_error_mean,relative_error_std
transnet_hybrid,l2_mean,32,0.0069676952710559185,0.0055046061343812765
transnet_hybrid,l2_mean,64,0.004075353651504568,0.0030744467083696396
transnet_hybrid,l2_mean,128,0.004793597723475927,0.003998430310939634
transnet_hybrid,l2_mean,256,0.0021134987407640652,0.0015703794488988018
transnet_hybrid,l2_mean,512,0.001967252035666886,0.0015235238307403055
transnet_hybrid,l2_mean,1024,0.00098003259527883,0.0008038282479379086
transnet_hybrid,pca_top1_ratio,16,2.8293399136591155,0.5064798797968432
transnet_hybrid,pca_top1_ratio,32,1.4069409770461898,0.11509987701809406
transnet_hybrid,pca_top1_ratio,64,0.6263779291067751,0.12741196499268093
transnet_hybrid,pca_top1_ratio,128,0.3203504307817341,0.12053218821662191
transnet_hybrid,pca_top1_ratio,256,0.19790028505371732,0.09142381459535259
transnet_hybrid,pca_top1_ratio,512,0.0627483110124736,0.04815239237729322
transnet_hybrid,pca_top1_ratio,1024,0.04453321276893023,0.04177414248926137
transnet_hybrid,near_zero_1e_3,16,0.2674002601742186,0.2532325838990831
transnet_hybrid,near_zero_1e_3,32,0.18718018212195303,0.1668760512394633
transnet_hybrid,near_zero_1e_3,64,0.12033011707839839,0.10196773542556999
transnet_hybrid,near_zero_1e_3,128,0.10106190373553911,0.06209532433264456
transnet_hybrid,near_zero_1e_3,256,0.07675926928031625,0.05316467584279763
transnet_hybrid,near_zero_1e_3,512,0.04581296078893196,0.031909721376604916
transnet_hybrid,near_zero_1e_3,1024,0.05359835755461532,0.04108240557503471
dscnn_hybrid,effective_rank,16,0.9083536318221933,0.002682161118492258
dscnn_hybrid,effective_rank,32,0.8290320172326362,0.004984394313253862
dscnn_hybrid,effective_rank,64,0.70385235761392,0.008224531618866347
dscnn_hybrid,effective_rank,128,0.5442217405927267,0.00796083387245776
dscnn_hybrid,effective_rank,256,0.3694131135416852,0.010734167659594276
dscnn_hybrid,effective_rank,512,0.22070752751342596,0.009054261316131225
dscnn_hybrid,effective_rank,1024,0.11526435680047764,0.00787211647773018
dscnn_hybrid,pca_top5_ratio,16,2.225072010023111,0.14706541784646238
dscnn_hybrid,pca_top5_ratio,32,1.220852361705953,0.11138519356892901
dscnn_hybrid,pca_top5_ratio,64,0.6278737729106904,0.07720447072825354
dscnn_hybrid,pca_top5_ratio,128,0.34636530088418993,0.05227207581651209
dscnn_hybrid,pca_top5_ratio,256,0.17928765994239199,0.04732874395894247
dscnn_hybrid,pca_top5_ratio,512,0.1058602004656795,0.03489206903220888
dscnn_hybrid,pca_top5_ratio,1024,0.04220960102552428,0.023271712242971757
dscnn_hybrid,std_global,16,0.01676284394394239,0.015801191375395103
dscnn_hybrid,std_global,32,0.012213282833781817,0.010154812674354212
dscnn_hybrid,std_global,64,0.007436256630010423,0.004932736548931063
dscnn_hybrid,std_global,128,0.006926773057918942,0.0057751192199049384
dscnn_hybrid,std_global,256,0.0039362284378839955,0.0032105051980478843
dscnn_hybrid,std_global,512,0.0019059497700559438,0.0019768581512455787
dscnn_hybrid,std_global,1024,0.0021015285965376184,0.0015780295204604858
dscnn_hybrid,l2_mean,16,0.016161726131160018,0.015350340506870952
dscnn_hybrid,l2_mean,32,0.011293111227376543,0.009310247554588116
dscnn_hybrid,l2_mean,64,0.006961478648610438,0.004936924435801171
dscnn_hybrid,l2_mean,128,0.006345925429829513,0.005423136712747578
dscnn_hybrid,l2_mean,256,0.003739687892675313,0.003137952423747218
dscnn_hybrid,l2_mean,512,0.0017004564507420404,0.0019655045220897584
dscnn_hybrid,l2_mean,1024,0.00190317566296234,0.001379667962057527
dscnn_hybrid,pca_top1_ratio,16,2.09474016811916,0.38066851664108586
dscnn_hybrid,pca_top1_ratio,32,1.0923665358198025,0.22759435490746208
dscnn_hybrid,pca_top1_ratio,64,0.46914114420697783,0.18606433216972446
dscnn_hybrid,pca_top1_ratio,128,0.2955861033208041,0.12482901881535047
dscnn_hybrid,pca_top1_ratio,256,0.1749214502265648,0.10204178436987946
dscnn_hybrid,pca_top1_ratio,512,0.10938634007208567,0.050407832155649784
dscnn_hybrid,pca_top1_ratio,1024,0.04706887371977463,0.031379667834182265
dscnn_hybrid,near_zero_1e_3,16,0.25185282397987746,0.20380761028349242
dscnn_hybrid,near_zero_1e_3,32,0.28477441865101577,0.16622160084545298
dscnn_hybrid,near_zero_1e_3,64,0.14403197668623033,0.1044663583592367
dscnn_hybrid,near_zero_1e_3,128,0.10617607993292455,0.057445067115332475
dscnn_hybrid,near_zero_1e_3,256,0.08251368376304387,0.05653850093091199
dscnn_hybrid,near_zero_1e_3,512,0.0633727573691069,0.04772983217729547
dscnn_hybrid,near_zero_1e_3,1024,0.04048196107433101,0.033253802736101824
attention_cnn_cnn_residual,effective_rank,16,0.9261933950064684,0.0030140476317104155
