exp_name,tensor,shape,numel,mse,rmse,target_rms,param_nmse_db
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.norm1.bias,64,64,2.0603408333296067e-07,0.00045390977444086913,0.008000286254525481,-24.922719833361462
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.norm2.weight,64,64,1.3565212180099984e-05,0.0036830981768207027,0.998719212587449,-48.66460217993237
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.norm2.bias,64,64,1.0967452240550263e-07,0.0003311714395981372,0.007096283218946274,-26.61956128614431
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.norm3.weight,64,64,2.0547000355697342e-05,0.0045328799185172935,1.021024653215493,-47.05324028549107
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.norm3.bias,64,64,3.544306310520365e-07,0.0005953407688475875,0.011242784309862681,-25.522165098319682
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.self_attn.in_proj_weight,192x64,12288,7.854166740453384e-09,8.862373689059486e-05,0.0871057289978985,-59.849933226194814
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.self_attn.in_proj_bias,192,192,7.64853363466176e-07,0.0008745589536824696,0.015329965907115268,-24.875041971727168
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.self_attn.out_proj.weight,64x64,4096,1.5569627734411318e-08,0.00012477831435955255,0.11489184124440859,-59.28300150073799
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.self_attn.out_proj.bias,64,64,2.566444713734461e-07,0.000506600899499247,0.007621806704674461,-23.547839478762313
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.multihead_attn.in_proj_weight,192x64,12288,8.751389216463425e-09,9.354886004897882e-05,0.09907949824204727,-60.498905976943846
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.multihead_attn.in_proj_bias,192,192,6.08323220277428e-07,0.0007799507806762091,0.013955274816620719,-25.053423924396434
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.multihead_attn.out_proj.weight,64x64,4096,1.7419115540435934e-08,0.00013198149696239976,0.12329886185470537,-59.408920356403215
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.multihead_attn.out_proj.bias,64,64,1.3352781523653673e-06,0.0011555423628605605,0.01886602162172027,-24.25788912472255
